Boro,Station (alphabetical by borough),2012,Boro,Station (alphabetical by borough),2012,Check
Brooklyn,Van Siclen Av C train icon,3307,Brooklyn,Van Siclen Av C train icon,2864,TRUE
Brooklyn,Van Siclen Av J train icon Z train icon,3393,Brooklyn,Van Siclen Av J train icon Z train icon,2829,TRUE
Brooklyn,West 8 St-New York Aquarium F train icon Q train icon,3427,Brooklyn,West 8 St-New York Aquarium F train icon Q train icon,2285,TRUE
Brooklyn,Wilson Av L train icon,4064,Brooklyn,Wilson Av L train icon,3566,TRUE
Brooklyn,Winthrop St 2 train icon 5 train icon,5287,Brooklyn,Winthrop St 2 train icon 5 train icon,7524,TRUE
Brooklyn,York St F train icon,7260,Brooklyn,York St F train icon,7798,TRUE
,Manhattan,,,Manhattan,,TRUE
Manhattan,1 Av L train icon,30928,Manhattan,1 Av L train icon,22436,TRUE
Manhattan,103 St 1 train icon,17810,Manhattan,103 St 1 train icon,13557,TRUE
Manhattan,103 St 6 train icon,16997,Manhattan,103 St 6 train icon,15721,TRUE
Manhattan,103 St B train icon C train icon,5599,Manhattan,103 St B train icon C train icon,4659,TRUE
Manhattan,110 St 6 train icon,13944,Manhattan,110 St 6 train icon,11908,TRUE
Manhattan,116 St 2 train icon 3 train icon,14810,Manhattan,116 St 2 train icon 3 train icon,11100,TRUE
Manhattan,116 St 6 train icon,20749,Manhattan,116 St 6 train icon,16514,TRUE
Manhattan,116 St B train icon C train icon,7647,Manhattan,116 St B train icon C train icon,6328,TRUE
Manhattan,116 St-Columbia University 1 train icon,16047,Manhattan,116 St-Columbia University 1 train icon,16283,TRUE
Manhattan,125 St 1 train icon,10889,Manhattan,125 St 1 train icon,7857,TRUE
Manhattan,125 St 2 train icon 3 train icon,18686,Manhattan,125 St 2 train icon 3 train icon,14471,TRUE
Manhattan,125 St 4 train icon 5 train icon 6 train icon,31873,Manhattan,125 St 4 train icon 5 train icon 6 train icon,28913,TRUE
Manhattan,125 St A train icon B train icon C train icon D train icon,34011,Manhattan,125 St A train icon B train icon C train icon D train icon,26276,TRUE
Manhattan,135 St 2 train icon 3 train icon,17351,Manhattan,135 St 2 train icon 3 train icon,14120,TRUE
Manhattan,135 St B train icon C train icon,5165,Manhattan,135 St B train icon C train icon,5409,TRUE
Manhattan,137 St-City College 1 train icon,16874,Manhattan,137 St-City College 1 train icon,14854,TRUE
Manhattan,14 St A train icon C train icon E train icon/8 Av L train icon,51356,Manhattan,14 St A train icon C train icon E train icon/8 Av L train icon,40990,TRUE
Manhattan,14 St F train icon M train icon 1 train icon 2 train icon 3 train icon/6 Av L train icon,58546,Manhattan,14 St F train icon M train icon 1 train icon 2 train icon 3 train icon/6 Av L train icon,49237,TRUE
Manhattan,14 St-Union Sq L train icon N train icon Q train icon R train icon 4 train icon 5 train icon 6 train icon,140855,Manhattan,14 St-Union Sq L train icon N train icon Q train icon R train icon 4 train icon 5 train icon 6 train icon,108000,TRUE
Manhattan,145 St 1 train icon,14616,Manhattan,145 St 1 train icon,9952,TRUE
Manhattan,145 St 3 train icon,3594,Manhattan,145 St 3 train icon,3273,TRUE
Manhattan,145 St A train icon B train icon C train icon D train icon,27736,Manhattan,145 St A train icon B train icon C train icon D train icon,22125,TRUE
Manhattan,155 St B train icon D train icon,4906,Manhattan,155 St B train icon D train icon,3947,TRUE
Manhattan,155 St C train icon,3212,Manhattan,155 St C train icon,2490,TRUE
Manhattan,157 St 1 train icon,14552,Manhattan,157 St 1 train icon,10331,TRUE
