Date,Name,Rank,Age,Cause,Place of Death,Country of Death,Branch of Service,City,State
4/16/2007,"Blue, Shaun M.",1st Lieutenant,25,Hostile - hostile fire,Saqlawiyah,Iraq,U.S. Marine,Munster,Indiana
4/16/2007,"Delatorre, Jesse D.",Lance Corporal,29,Hostile - hostile fire,Al Taqaddum,Iraq,U.S. Marine,Aurora,Illinois
4/16/2007,"Scherry, Daniel R.",Lance Corporal,20,Non-hostile - accident,Al Asad,Iraq,U.S. Marine,Rocky River,Ohio
4/16/2007,"Starcevich, Lucas V.",Private 1st Class,25,Hostile - hostile fire - IED attack,Baghdad (southern part),Iraq,U.S. Army,Canton,Illinois
4/16/2007,"Genevie, Aaron M.",Private 1st Class,22,Hostile - hostile fire - IED attack,Baghdad (southern part),Iraq,U.S. Army,Chambersburg,Pennsylvania
4/16/2007,"De Leon, Mario K.",Sergeant,26,Hostile - hostile fire - small arms fire,Baghdad (southwest part),Iraq,U.S. Army,San Francisco,California
4/15/2007,"Walberg, Steven J.",Private 1st Class,18,Hostile - hostile fire - small arms fire,Baghdad (southern part),Iraq,U.S. Army,Paradise,California
4/14/2007,"Schmit, Joshua A. ",Sergeant,26,Hostile - hostile fire - IED attack,Fallujah,Iraq,U.S. Army Reserve,Willmar,Minnesota
4/14/2007,"Wallace, Brandon L.",Sergeant,27,Hostile - hostile fire - IED attack,Fallujah,Iraq,U.S. Army Reserve,St. Louis,Missouri
4/14/2007,"Santee, Daniel J.",Lance Corporal,21,Non-hostile - vehicle accident,Ramadi,Iraq,U.S. Marine,Mission Viejo,California
4/14/2007,"Basham, Robert J.",Staff Sergeant,22,Non-hostile - injury,Qatar,Qatar,U.S. Army National Guard,Kenosha,Wisconsin
4/14/2007,"Bishop, Ryan A.",Specialist,32,Hostile - hostile fire - IED attack,Baghdad (south of),Iraq,U.S. Army,Euless,Texas
4/13/2007,"Bowman, Larry R.",Sergeant,29,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army,Granite Falls,North Carolina
4/12/2007,"Putnam, Cody A.",Corporal,22,Hostile - hostile fire - IED attack,Baghdad (south of),Iraq,U.S. Army,Lafayette,Indiana
4/12/2007,"Borbonus, John G.",Private 1st Class,19,Hostile - hostile fire - IED attack,Baghdad (south of),Iraq,U.S. Army,Boise,Idaho
4/12/2007,"Lindsey, James T.",Specialist,20,Hostile - hostile fire - IED attack,Baghdad (south of),Iraq,U.S. Army,Florence,Alabama
4/12/2007,"Beadles, Jason J.",Corporal,22,Non-hostile - injury,Baghdad,Iraq,U.S. Army,La Porte,Indiana
4/12/2007,"Newman, Gwilym J.",1st Lieutenant,24,Hostile - hostile fire - small arms fire,Tarmiya (12 mi. North of Baghdad),Iraq,U.S. Army,Waldorf,Maryland
4/11/2007,"Sevaaetasi, Raymond S.",Sergeant,29,Hostile - hostile fire - IED attack,Baghdad (eastern part),Iraq,U.S. Army,Pago Pago,American Samoa
4/10/2007,"Bohrnsen, Kyle G.",Private 1st Class,22,Hostile - hostile fire - IED attack,Baghdad (southern part),Iraq,U.S. Army,Philipsburg,Montana
4/9/2007,"Holden, Brian Lee",Private 1st Class,20,Hostile - hostile fire - IED attack,Baghdad (southeast part),Iraq,U.S. Army,Claremont,North Carolina
4/9/2007,"Solorio, Ismael",Specialist,21,Hostile - hostile fire - IED attack,Baghdad (southeast part),Iraq,U.S. Army,San Luis,Arizona
4/9/2007,"Walton, Brett Andre",Private 1st Class,37,Hostile - hostile fire - IED attack,Baghdad (southeast part),Iraq,U.S. Army,Hillsboro,Oregon
4/9/2007,"Spohn III,, Clifford A.",Specialist,21,Hostile - hostile fire - indirect fire,Karmah,Iraq,U.S. Army,Albuquerque,New Mexico
4/8/2007,"Kennedy, Adam P.",Sergeant,25,Hostile - hostile fire - indirect fire,Diwaniyah,Iraq,U.S. Army,Norfolk,Massachusetts
4/8/2007,"Williams, Jesse L.",Staff Sergeant,25,Hostile - hostile fire - small arms fire,Ba'qubah (died in Balad),Iraq,U.S. Army,Santa Rosa,California
4/8/2007,"Simmons, David N.",Private 1st Class,20,"Hostile - hostile fire - IED, small arms fire",Baghdad (south of),Iraq,U.S. Army,Kokomo,Indiana
4/8/2007,"Brown, Harrison",Staff Sergeant,31,"Hostile - hostile fire - IED, small arms fire",Baghdad (south of),Iraq,U.S. Army,Prichard,Alabama
4/8/2007,"Singleton, Todd A.",Sergeant,24,"Hostile - hostile fire - IED, small arms fire",Baghdad (south of),Iraq,U.S. Army,Muskegon,Michigan
4/8/2007,"Neel, Phillip I.",1st Lieutenant,27,Hostile - hostile fire - grenade,Balad,Iraq,U.S. Army,Not reported yet,Maryland
4/7/2007,"Grassbaugh, Jonathan D.",Captain,25,Hostile - hostile fire - IED attack,Zaganiyah,Iraq,U.S. Army,East Hampstead,New Hampshire
4/7/2007,"Emolo, Ebe F. ",Specialist,33,Hostile - hostile fire - IED attack,Zaganiyah,Iraq,U.S. Army,Greensboro,North Carolina
4/7/2007,"Hoover, Levi K.",Private 1st Class,23,Hostile - hostile fire - IED attack,Zaganiyah,Iraq,U.S. Army,Midland,Michigan
4/7/2007,"McCandless, Rodney L.",Private 1st Class,21,Hostile - hostile fire - IED attack,Zaganiyah,Iraq,U.S. Army,Camden,Arkansas
4/7/2007,"Murphy-Sweet,  Philip A.",Commander,42,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Navy,Caldwell,Idaho
4/6/2007,"McSween, Joseph A.",Petty Officer 1st Class,26,Hostile - hostile fire,Kirkuk (near),Iraq,U.S. Navy,Valdosta,Georgia
4/6/2007,"Hall, Curtis R.",Petty Officer 2nd Class,24,Hostile - hostile fire,Kirkuk (near),Iraq,U.S. Navy,Burley,Idaho
4/6/2007,"Billiter, Gregory J.",Chief Petty Officer,36,Hostile - hostile fire,Kirkuk (near),Iraq,U.S. Navy,Villa Hills,Kentucky
4/6/2007,"Cajimat, Jay S.",Private 1st Class,20,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army,Lahaina,Hawaii
4/6/2007,"Schwedler, Joseph C.",Petty Officer 2nd Class,27,Hostile - hostile fire,Al Anbar Province,Iraq,U.S. Navy,Crystal Falls,Michigan
4/6/2007,"Fuentes, Daniel A.",Private 1st Class,19,Hostile - hostile fire - IED attack,Baghdad (eastern part),Iraq,U.S. Army,Levittown,New York
4/6/2007,"Rodriguez, Damian Lopez",Private,19,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army,Tucson,Arizona
4/6/2007,"Dallam, Ryan S.",Specialist,24,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army,Norman,Oklahoma
4/6/2007,"Palermo Jr., Anthony",Captain,27,Hostile - hostile fire - IED attack,Baghdad (western part),Iraq,U.S. Army,Brockton,Massachusetts
4/5/2007,"Shaffer, Jason A.",Specialist,28,Hostile - hostile fire - IED attack,Ba'qubah,Iraq,U.S. Army,Derry,Pennsylvania
4/5/2007,"Cauthorn, Forrest D.",Sergeant,22,Hostile - hostile fire - small arms fire,Hawijah,Iraq,U.S. Army,Midlothian,Virginia
4/4/2007,"Coon, James J.",Private 1st Class,22,Hostile - hostile fire - IED attack,Balad,Iraq,U.S. Army,Walnut Creek,California
4/4/2007,"Burge, Jerry C.",Staff Sergeant,39,Hostile - hostile fire - IED attack,Tikrit,Iraq,U.S. Army,Carriere,Mississippi
4/4/2007,"Cantrell IV, Joseph H.",Corporal,23,Hostile - hostile fire - IED attack,Tikrit,Iraq,U.S. Army,Ashland,Kentucky
4/4/2007,"Gibson, Derek A.",Private 1st Class,20,Hostile - hostile fire - IED attack,Baghdad (southern part),Iraq,U.S. Army,Eustis,Florida
4/4/2007,"Freeman Jr., Walter",Private 1st Class,20,Hostile - hostile fire - IED attack,Baghdad (southern part),Iraq,U.S. Army,Lancaster,California
4/3/2007,"Becker, Shane R. ",Staff Sergeant,35,Hostile - hostile fire - small arms fire,Baghdad,Iraq,U.S. Army,Helena,Montana
4/3/2007,"Figueroa, Gabriel J.",Private 1st Class,20,Hostile - hostile fire - small arms fire,Baghdad,Iraq,U.S. Army,Baldwin Park,California
4/2/2007,"Spivey, Curtis R.",Specialist,25,Hostile - hostile fire - IED attack,San Diego,USA,U.S. Army,Chula Vista,California
4/2/2007,"Olsen, Daniel R.",Lance Corporal,20,Hostile - hostile fire - small arms fire,Fallujah,Iraq,U.S. Marine,Eagan,Minnesota
4/2/2007,"King, Bradley D.",Staff Sergeant,28,Hostile - hostile fire - IED attack,Amiriyah,Iraq,U.S. Army National Guard,Marion,Indiana
4/2/2007,"Ritzberg, Brian E.",Specialist,24,Hostile - hostile fire - IED attack,Kirkuk,Iraq,U.S. Army,New York,New York
4/1/2007,"Mejias, David A.",Staff Sergeant,26,Hostile - hostile fire - IED attack,Baghdad (southwest of),Iraq,U.S. Army,San Juan,Puerto Rico
4/1/2007,"Vick, Eric R.",Staff Sergeant,25,Hostile - hostile fire - IED attack,Baghdad (southwest of),Iraq,U.S. Army,Spring Hope,North Carolina
4/1/2007,"McDowell, Robert M.",Sergeant,30,Hostile - hostile fire - IED attack,Baghdad (southwest of),Iraq,U.S. Army,Deer Park,Texas
4/1/2007,"Bowling, William G.",Specialist,24,Hostile - hostile fire - IED attack,Baghdad (southwest of),Iraq,U.S. Army,Beattyville,Kentucky
4/1/2007,"Marcial III, Miguel A.",Private 1st Class,19,Non-hostile,Al Asad,Iraq,U.S. Marine,Secaucus,New Jersey
4/1/2007,"Arnette, Jason R.",Staff Sergeant,24,Hostile - hostile fire - IED attack,Baghdad (southwest of),Iraq,U.S. Army,Amelia,Virginia
3/31/2007,"Flores Jr., Wilfred",Specialist,20,Hostile - hostile fire - IED attack,Baghdad (southwest of),Iraq,U.S. Army,Lawton,Oklahoma
3/31/2007,"Shank, Neale M.",1st Lieutenant,25,Non-hostile,Baghdad,Iraq,U.S. Army,Fort Wayne,Indiana
3/29/2007,"Polo, Joe",Sergeant,24,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army,Opalocka,Florida
3/27/2007,"Forshey, Curtis J.",Sergeant,22,Non-hostile - illness,Homburg,Germany,U.S. Army,Hollidaysburg,Pennsylvania
3/27/2007,"Golczynski, Marcus A.",Staff Sergeant,30,Hostile - hostile fire,Fallujah,Iraq,U.S. Marine Reserve,Lewisburg,Tennessee
3/27/2007,"Thomas, Sean Michael",Master Sergeant,33,Hostile - hostile fire - rocket attack,Baghdad (Green Zone),Iraq,U.S. Army National Guard,Harrisburg,Pennsylvania
3/25/2007,"McDonald, Sean K.",Specialist,21,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army,Rosemount,Minnesota
3/25/2007,"Nunez, Jason",Corporal,22,"Hostile - hostile fire - small arms fire, IED",Ba'qubah,Iraq,U.S. Army,Naranjito,Puerto Rico
3/25/2007,"Gonzalez, Orlando E.",Private 1st Class,21,"Hostile - hostile fire - small arms fire, IED",Ba'qubah,Iraq,U.S. Army,New Freedom,Pennsylvania
3/25/2007,"White, Anthony",Private,21,"Hostile - hostile fire - small arms fire, IED",Ba'qubah,Iraq,U.S. Army,Columbia,South Carolina
3/25/2007,"Swiger, Jason",Sergeant,24,"Hostile - hostile fire - small arms fire, IED",Ba'qubah,Iraq,U.S. Army,South Portland,Maine
3/24/2007,"Roberts, Trevor A.",Lance Corporal,21,Hostile - hostile fire,Hit,Iraq,U.S. Marine Reserve,Oklahoma City,Oklahoma
3/23/2007,"Riewer, Greg N.",Sergeant,28,Hostile - hostile fire - IED attack,Fallujah,Iraq,U.S. Army National Guard,Frazee,Minnesota
3/23/2007,"Springer II, Lance C.",Specialist,23,Hostile - hostile fire - IED attack,Baghdad (south of),Iraq,U.S. Army,Benbrook,Texas
3/22/2007,"Bogrette, Henry W.",Corporal,21,Hostile - hostile fire,Camp Fallujah,Iraq,U.S. Marine,Richville,New York
3/22/2007,"Gardner Jr., Freeman L.",Sergeant,26,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army,Little Rock,Arkansas
3/21/2007,"Lightner, Nicholas J.",Sergeant,29,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army,Newport,Oregon
3/21/2007,"Griffin Jr., Darrell R.",Staff Sergeant,36,Hostile - hostile fire - small arms fire,Balad,Iraq,U.S. Army,Alhambra,California
3/21/2007,"Sams II, Joey T.",Private 1st Class,22,Non-hostile - vehicle accident,Camp Buehring,Kuwait,U.S. Army,Spartanburg,South Carolina
3/21/2007,"Lee, Dustin Jerome",Corporal,20,Hostile - hostile fire,Al Taqaddum,Iraq,U.S. Marine,Quitman,Mississippi
3/21/2007,"Lewis, Adrian J. ",Sergeant,30,Hostile - hostile fire - small arms fire,Ramadi,Iraq,U.S. Army,Mauldin,South Carolina
3/20/2007,"Glawson Jr., Curtis E.",Specialist,24,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army,Daleville,Alabama
3/20/2007,"Richardson, Stephen K.",Private 1st Class,22,Hostile - hostile fire - IED attack,Baghdad (southern part),Iraq,U.S. Army,Bridgeport,Connecticut
3/20/2007,"Cornell, Wayne R. ",Sergeant,26,Hostile - hostile fire - IED attack,Baghdad (southern part),Iraq,U.S. Army,Holstein,Nebraska
3/18/2007,"Green, Ryan P.",Sergeant,24,Hostile - hostile fire - IED attack,Landstuhl Reg. Med. Ctr.,Germany,U.S. Army,Woodlands,Texas
3/17/2007,"Guerrero, Marieo",Specialist,30,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army,Fort Worth,Texas
3/17/2007,"Kaiser, Anthony A.",Private 1st Class,27,Hostile - hostile fire - small arms fire,Baghdad,Iraq,U.S. Army,Narrowsburg,New York
3/17/2007,"Timberman, Harry H.",Lance Corporal,20,Hostile - hostile fire,Fallujah,Iraq,U.S. Marine,Minong,Wisconsin
3/17/2007,"Allen, John E.",Sergeant,25,Hostile - hostile fire - IED attack,Baghdad (western part),Iraq,U.S. Army,Palmdale,California
3/17/2007,"Santini, Ed",Sergeant,25,Hostile - hostile fire - IED attack,Baghdad (western part),Iraq,U.S. Army,Toa Baja,Puerto Rico
3/17/2007,"Davis, William N.",Private 1st Class,26,Hostile - hostile fire - IED attack,Baghdad (western part),Iraq,U.S. Army,Adrian,Michigan
3/17/2007,"Landry Jr., John F.",Private 1st Class,20,Hostile - hostile fire - IED attack,Baghdad (western part),Iraq,U.S. Army,Lowell,Massachusetts
3/17/2007,"Tauala, Nimo W.",Sergeant,29,Non-hostile,Muqdadiyah,Iraq,U.S. Army,Honolulu,Hawaii
3/17/2007,"Sebban, Benjamin L.",Sergeant 1st Class,29,Hostile - hostile fire - IED attack,Ba'qubah,Iraq,U.S. Army,Sebban,Tennessee
3/16/2007,"Brevard, Christopher R.",Sergeant 1st Class,31,Hostile - hostile fire - IED attack,Baghdad (south of),Iraq,U.S. Army,Phoenix,Arizona
3/15/2007,"Stephens, John S.",Sergeant 1st Class,41,Hostile - hostile fire,Tikrit,Iraq,U.S. Army,San Antonio,Texas
3/15/2007,"Arnold, James L.",Private 1st Class,21,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army,Mattawan,Michigan
3/15/2007,"Brand, Emerson N.",Sergeant,29,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army,Rigby,Idaho
3/15/2007,"Prater, Terry W.",Staff Sergeant,25,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army,Speedwell,Tennessee
3/15/2007,"Harris, Blake M.",Sergeant,27,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army,Hampton,Georgia
3/15/2007,"Holzhauer, Raymond J.",Lance Corporal,19,Non-hostile,Camp Taqaddum (military hospital) ,Iraq,U.S. Marine,Dwight,Illinois
3/14/2007,"Boyd, Joshua M.",Specialist,30,Hostile - hostile fire - IED attack,"Brooke Army Med Center, TX",USA,U.S. Army,Seattle,Washington
3/14/2007,"Waterbury, Forrest J.",Specialist,25,Hostile - hostile fire,Ramadi,Iraq,U.S. Army,Richmond,Texas
3/14/2007,"Chavez, Steven M.",Lance Corporal,20,Non-hostile - manslaughter,Ramadi,Iraq,U.S. Marine,Hondo,New Mexico
3/14/2007,"Kowalczyk, Stephen M.",Specialist,32,Hostile - hostile fire - small arms fire,Muqdadiyah,Iraq,U.S. Army,San Diego,California
3/14/2007,"Rosema, Adam J.",Specialist,27,Hostile - hostile fire - IED attack,Ba'qubah,Iraq,U.S. Army,Pasadena,California
3/14/2007,"Chevalier, Brian L.",Corporal,21,Hostile - hostile fire - IED attack,Mufrek,Iraq,U.S. Army,Not reported yet,Georgia
3/13/2007,"Rosa, Angel",Private 1st Class,21,Hostile - hostile fire,Al Taqaddum,Iraq,U.S. Marine,South Portland,Maine
3/13/2007,"Garcia Jr., Alberto",Private 1st Class,23,Hostile - hostile fire - IED attack,Baghdad (southern part),Iraq,U.S. Army,Bakersfield,California
3/13/2007,"Carr, Robert M.",Sergeant,22,Hostile - hostile fire - IED attack,Baghdad (northern part),Iraq,U.S. Army,Warren,Ohio
3/11/2007,"Windsor, Nathanial Dain",Lance Corporal,20,Hostile - hostile fire,Al Taqaddum,Iraq,U.S. Marine,Scappoose,Oregon
3/11/2007,"Smith, Jonathan K.",Specialist,19,Non-hostile,Baghdad,Iraq,U.S. Army,Atlanta,Georgia
3/11/2007,"Latham, Thomas L.",Sergeant,23,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army,Delmar,Maryland
3/11/2007,"Woodcock, Daniel E.",Sergeant,25,Hostile - hostile fire - explosion,Ad Dwar,Iraq,U.S. Army,Glennallen,Alaska
3/11/2007,"Stone, Douglas C.",Sergeant 1st Class,49,Non-hostile,Tikrit,Iraq,U.S. Army Reserve,Taylorsville,Utah
3/9/2007,"Veater, Dennis J.",Lance Corporal,20,Hostile - hostile fire,Al Anbar Province (died in Balad),Iraq,U.S. Marine Reserve,Jessup,Pennsylvania
3/7/2007,"Graham, Mark W.",Private,22,Hostile - hostile fire - IED attack,"Brooke Army Med Center, TX",USA,U.S. Army,Lafayette,Louisiana
3/7/2007,"Webb, Christopher R.",Staff Sergeant,28,Hostile - hostile fire - IED attack,Baghdad (northwest of),Iraq,U.S. Army,Winchester,California
3/7/2007,"Rivera, Michael D.",Specialist,22,Hostile - hostile fire - IED attack,Baghdad (northwest of),Iraq,U.S. Army,Brooklyn,New York
3/7/2007,"Rankinen, Shawn",Specialist,28,Hostile - hostile fire - IED attack,Baghdad (northwest of),Iraq,U.S. Army,Independence,Missouri
3/5/2007,"Harris, Blake",Specialist,22,Hostile - hostile fire - IED attack,Ba'qubah,Iraq,U.S. Army,Not reported yet,Not reported yet
3/5/2007,"Russell, Ryan D.",Specialist,20,Hostile - hostile fire - IED attack,Ba'qubah,Iraq,U.S. Army,Elm City,North Carolina
3/5/2007,"Mayo, Barry Wayne",Private,21,Hostile - hostile fire - IED attack,Ba'qubah,Iraq,U.S. Army,Ecru,Mississippi
3/5/2007,"Estes, Justin M.",Staff Sergeant,25,Hostile - hostile fire - IED attack,Samarra (near),Iraq,U.S. Army,Sims,Arkansas
3/5/2007,"Kosters, Cory C.",Private 1st Class,19,Hostile - hostile fire - IED attack,Samarra (near),Iraq,U.S. Army,The Woodlands,Texas
3/5/2007,"Bell, Ryan M.",Specialist,21,Hostile - hostile fire - IED attack,Samarra (near),Iraq,U.S. Army,Colville,Washington
3/5/2007,"Stanley, Robert",Staff Sergeant,27,Hostile - hostile fire - IED attack,Samarra (near),Iraq,U.S. Army,Spotsylvania,Virginia
3/5/2007,"Perkins, Andrew C.",Sergeant,27,Hostile - hostile fire - IED attack,Samarra (near),Iraq,U.S. Army,Northglenn,Colorado
3/5/2007,"Rollins, Justin A.",Specialist,22,Hostile - hostile fire - IED attack,Samarra (near),Iraq,U.S. Army,Newport,New Hampshire
3/4/2007,"Kasson, Darrel D.",Staff Sergeant,43,Hostile - hostile fire - IED attack,Bayji (died in Tikrit),Iraq,U.S. Army National Guard,Florence,Arizona
3/3/2007,"Bravo Jr., Raul S.",Lance Corporal,21,Hostile - hostile fire - IED attack,Al Qaim,Iraq,U.S. Marine,Elko,Nevada
3/3/2007,"Moyer, Ashly L.",Sergeant,21,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army,Emmaus,Pennsylvania
3/3/2007,"Peek, Michael C.",Sergeant,23,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army,Chesapeake,Virginia
3/3/2007,"Parr, Brandon Allen",Sergeant,25,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army,West Valley,Utah
3/2/2007,"Young, Christopher D.",Specialist,20,Hostile - hostile fire - IED attack,Safwan,Iraq,U.S. Army National Guard,Los Angeles,California
3/2/2007,"Tulang, Morgan C.",Lieutenant Commander,36,Non-hostile - natural causes,Kuwait City,Kuwait,U.S. Naval Reserve,Hilo,Hawaii
3/2/2007,"Williams, Wesley J.",Private,23,Non-hostile - injury,Baghdad,Iraq,U.S. Army,Philadelphia,Pennsylvania
3/2/2007,"Latourney, Paul M.",Staff Sergeant,28,Hostile - hostile fire - IED attack,Baghdad (northwest of),Iraq,U.S. Army,Roselle,Illinois
3/2/2007,"Rodriguez-Contrera, Luis O.",Specialist,22,Hostile - hostile fire - IED attack,Baghdad (northwest of),Iraq,U.S. Army,Allentown,Pennsylvania
3/2/2007,"Gould, Dustin M.",Staff Sergeant,28,Hostile - hostile fire,Ramadi,Iraq,U.S. Marine,Longmont,Colorado
3/2/2007,"Emch, Luke",Hospitalman,21,Hostile - hostile fire - IED attack,Ramadi (near),Iraq,U.S. Navy,Kent,Ohio
2/28/2007,"Allen, Chad M.",Sergeant,25,Hostile - hostile fire,Al Anbar Province,Iraq,U.S. Marine,Maple Lake,Minnesota
2/28/2007,"Van Slyke, Bufford ""Kenny""",Private 1st Class,22,Hostile - hostile fire - small arms fire,Fallujah,Iraq,U.S. Marine Reserve,Bay City,Michigan
2/27/2007,"Soto-Pinedo, Karl O.",Staff Sergeant,22,Hostile - hostile fire - small arms fire,Baghdad,Iraq,U.S. Army,San Juan,Puerto Rico
2/27/2007,"Cadavero, Jonathan D.",Specialist,24,Hostile - hostile fire - IED attack,Baghdad (southwest of),Iraq,U.S. Army,Takoma,Maryland
2/27/2007,"Soukenka, Richard A.",Sergeant,30,Hostile - hostile fire - IED attack,Baghdad (southwest of),Iraq,U.S. Army,Oceanside,California
2/27/2007,"Henry Jr, Lorne E.",Corporal,21,Hostile - hostile fire - IED attack,Baghdad (southwest of),Iraq,U.S. Army,Niagara Falls,New York
2/26/2007,"Beardsley, William J.",Sergeant,25,Hostile - hostile fire - IED attack,Diwaniyah,Iraq,U.S. Army,Coon Rapids,Minnesota
2/26/2007,"Aguirre, Anthony",Lance Corporal,20,Hostile - hostile fire,Haqlaniyah,Iraq,U.S. Marine,Channelview,Texas
2/24/2007,"Barnett, Jeremy D.",Sergeant,27,Hostile - hostile fire - mine,Landstuhl Reg. Med. Ctr.,Germany,U.S. Army,Mineral City,Ohio
2/24/2007,"Biggers, Ethan J.",Specialist,22,Hostile - hostile fire - sniper fire,Richard L. Roudebush VA Medical Center,USA,U.S. Army,Beavercreek,Ohio
2/22/2007,"Hager, Joshua R.",Staff Sergeant,29,Hostile - hostile fire - IED attack,Ramadi,Iraq,U.S. Army,Broomfield,Colorado
2/22/2007,"Buford, Travis Wayne",Private 1st Class,23,Hostile - hostile fire - IED attack,Ramadi,Iraq,U.S. Army,Galveston,Texas
2/22/2007,"Walter, Rowan D.",Private 1st Class,25,Hostile - hostile fire - IED attack,Ramadi,Iraq,U.S. Army,Winnetka,California
2/22/2007,"Berry, David R.",Staff Sergeant,37,Hostile - hostile fire - IED attack,Qasim,Iraq,U.S. Army National Guard,Wichita,Kansas
2/21/2007,"Ramirez, Angel R.",Lance Corporal,28,Non-hostile,"Twentynine Palms, CA",USA,U.S. Marine,Brooklyn,New York
2/20/2007,"Ford, Richard L.",Sergeant,40,"Hostile - hostile fire - mortar, small arms fire",Baghdad,Iraq,U.S. Army,East Hartford,Connecticut
2/20/2007,"Ahlquist, Clinton W.",Sergeant,23,Hostile - hostile fire,Ramadi,Iraq,U.S. Marine,Creede,Colorado
2/20/2007,"Kim, Louis G.",Specialist,19,Hostile - hostile fire - small arms fire,Ramadi,Iraq,U.S. Army,West Covina,California
2/19/2007,"Dunkin, Shawn M.",Sergeant,25,Hostile - hostile fire - IED attack,Baghdad (southwest of),Iraq,U.S. Army,Columbia,South Carolina
2/19/2007,"Bowe, Matthew C.",Private 1st Class,19,Hostile - hostile fire - IED attack,Baghdad (southwest of),Iraq,U.S. Army,Coraopolis,Pennsylvania
2/19/2007,"Cleveland, Adare W.",Private 1st Class,19,Hostile - hostile fire - IED attack,Baghdad (southwest of),Iraq,U.S. Army,Anchorage,Alaska
2/19/2007,"Colon, Pedro J.",Staff Sergeant,25,Hostile - hostile fire - suicide car bomb,Baghdad (north of),Iraq,U.S. Army,Cicero,Illinois
2/19/2007,"Mcarn, Montrel S.",Specialist,21,Hostile - hostile fire - suicide car bomb,Baghdad (north of),Iraq,U.S. Army,Raeford,North Carolina
2/19/2007,"Witteveen, Brett",Private 1st Class,20,Hostile - hostile fire - IED attack,Fallujah,Iraq,U.S. Marine Reserve,Shelby,Michigan
2/18/2007,"Howey, Blake H.",Lance Corporal,20,Hostile - hostile fire,Fallujah,Iraq,U.S. Marine,Glendora,California
2/18/2007,"Apuan, Matthew S.",Sergeant,27,Hostile - hostile fire - small arms fire,Baghdad,Iraq,U.S. Army,Las Cruces,New Mexico
2/18/2007,"Youngblood, Kelly D.",Private,19,Hostile - hostile fire - sniper fire,Ramadi,Iraq,U.S. Army,Mesa,Arizona
2/17/2007,"Boone, Christopher K.",Specialist,34,Non-hostile,Balad,Iraq,U.S. Army National Guard,Augusta,Georgia
2/17/2007,"Escalante, Brian A.",Lance Corporal,25,Hostile - hostile fire,Al Asad,Iraq,U.S. Marine,Dodge City,Kansas
2/17/2007,"Spillers, William C.",Sergeant 1st Class,39,Non-hostile - injury,Baghdad,Iraq,U.S. Army National Guard,Terry,Mississippi
2/17/2007,"Marsh, Chad E.",Private 1st Class,20,Hostile - hostile fire - grenade,Baghdad (northern part),Iraq,U.S. Army,Wichita,Kansas
2/17/2007,"Paton, Justin T.",Private 1st Class,24,"Hostile - hostile fire - mortar, small arms fire",Tarmiya,Iraq,U.S. Army,Alanson,Michigan
2/16/2007,"Siebert, Todd M.",Captain,34,Hostile - hostile fire,Ramadi,Iraq,U.S. Marine,Baden,Pennsylvania
2/14/2007,"Morris, Daniel T.",Lance Corporal,19,Hostile - hostile fire,Haqlaniyah,Iraq,U.S. Marine,Crimora,Virginia
2/14/2007,"Rode, John D.",Sergeant,24,Hostile - hostile fire - IED attack,Ba'qubah,Iraq,U.S. Army,Pineville,North Carolina
2/14/2007,"Madore Jr., Ronnie G.",Specialist,34,Hostile - hostile fire - IED attack,Ba'qubah,Iraq,U.S. Army,San Diego,California
2/14/2007,"Seigart, Carl Leonard",Sergeant,32,Hostile - hostile fire - IED attack,Ba'qubah,Iraq,U.S. Army,San Luis Obispo,California
2/14/2007,"Cummings, Branden C.",Private 1st Class,20,Hostile - hostile fire - IED attack,Ba'qubah,Iraq,U.S. Army,Titusville,Florida
2/13/2007,"Mosteiro, Allen",Sergeant 1st Class,42,Hostile - hostile fire - small arms fire,Baghdad,Iraq,U.S. Army,Fort Worth,Texas
2/13/2007,"Tanton, Nickolas A.",Private 1st Class,24,Non-hostile - injury,Kirkuk,Iraq,U.S. Army,San Antonio,Texas
2/11/2007,"Kurtz, Russell A.",Sergeant,22,Hostile - hostile fire - IED attack,Fallujah,Iraq,U.S. Army,Bethel Park,Pennsylvania
